gene,canine_osteosarcoma_gardner2019
TP53,osteosarcoma
RB1,osteosarcoma
PTEN,osteosarcoma
RHOC,osteosarcoma
RUNX2,osteosarcoma
TUSC3,osteosarcoma
EGFR,osteosarcoma
NOTCH1,osteosarcoma
MET,osteosarcoma
IGF1,osteosarcoma
HER2,osteosarcoma
MTOR,osteosarcoma
NTRK1,osteosarcoma
EZR,osteosarcoma
CXCR4,osteosarcoma
MMP2,osteosarcoma
MMP9,osteosarcoma
RANKL,osteosarcoma
CTNNB1,osteosarcoma
PD-L1,osteosarcoma
COX2,osteosarcoma
PDGFR,osteosarcoma
MYC,osteosarcoma
CDKN2A,osteosarcoma
CDKN2B,osteosarcoma
TGFB1,osteosarcoma
CXCL8,osteosarcoma
TP63,osteosarcoma
BRCA1,osteosarcoma
BRCA2,osteosarcoma
PIK3CA,osteosarcoma
FAS,osteosarcoma
FASLG,osteosarcoma
DLG2,osteosarcoma
CDK4,osteosarcoma
CDK6,osteosarcoma
MDM2,osteosarcoma
CARD11,osteosarcoma
CCNE1,osteosarcoma
COPS3,osteosarcoma
AKT1,osteosarcoma
E1F,osteosarcoma
SMAD4,osteosarcoma
ATM,osteosarcoma
ATRX,osteosarcoma
FANCA,osteosarcoma
RECQL4,osteosarcoma
NF1,osteosarcoma
TSC2,osteosarcoma
MLLT2,osteosarcoma
MLLT3,osteosarcoma